,precision,recall,f1-score,support,pipeline,classifier,vectorizer,ngram_lower_bound,ngram_upper_bound,preprocess_function
CONSPIRACY,0.7822878228782287,0.7681159420289855,0.7751371115173674,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
CRITICAL,0.8790170132325141,0.8874045801526718,0.8831908831908832,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
accuracy,0.84625,0.84625,0.84625,0.84625,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
macro avg,0.8306524180553714,0.8277602610908286,0.8291639973541254,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
weighted avg,0.8456454425602857,0.84625,0.8459123319635202,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,CountVectorizer,1,1,preprocess_advanced
CONSPIRACY,0.7468354430379747,0.855072463768116,0.7972972972972973,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
CRITICAL,0.9173553719008265,0.8473282442748091,0.8809523809523809,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
accuracy,0.85,0.85,0.85,0.85,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
macro avg,0.8320954074694006,0.8512003540214625,0.8391248391248392,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
weighted avg,0.8585259964431426,0.85,0.8520913770913771,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 1",MultinomialNB,TfidfVectorizer,1,1,preprocess_advanced
CONSPIRACY,0.7594501718213058,0.8007246376811594,0.7795414462081128,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
CRITICAL,0.8919449901768173,0.8664122137404581,0.8789932236205228,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
accuracy,0.84375,0.84375,0.84375,0.84375,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
macro avg,0.8256975809990615,0.8335684257108087,0.8292673349143178,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
weighted avg,0.8462342778441658,0.84375,0.8446823604132413,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,CountVectorizer,1,2,preprocess_advanced
CONSPIRACY,0.6890756302521008,0.8913043478260869,0.7772511848341233,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_advanced
CRITICAL,0.9322799097065463,0.7881679389312977,0.8541882109617374,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_advanced
accuracy,0.82375,0.82375,0.82375,0.82375,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_advanced
macro avg,0.8106777699793235,0.8397361433786923,0.8157196978979303,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_advanced
weighted avg,0.8483744332947626,0.82375,0.8276449369477105,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 1, 2",MultinomialNB,TfidfVectorizer,1,2,preprocess_advanced
CONSPIRACY,0.7619047619047619,0.6956521739130435,0.7272727272727273,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,CountVectorizer,2,2,preprocess_advanced
