,text,category,comment_length,uppercase_amount,predicted_category
1453,"Maher : ' Liberal Media ' Must Take ' Responsibility ' for Scaring People about COVID , People in Blue States ' Afraid to Go Out ' ",CRITICAL,short,high,CONSPIRACY
2084,# AlexJonesShow LIVE : Medical Expert Exposes The Lies of Covid - 19 & The Dangers of Vaccines ! - https :// www . banthis . tv / channel / the - alex - jones - show   Subscribe To Live Broadcast Alerts ! - Text : ' SHOW ' To : ( 833 ) 470 - 0222   Fortify Your Supply Sale - Only 2 Days Left : https :// www . infowarsstore . com / specials - clearance / fortify - your - supply ,CRITICAL,average,high,CONSPIRACY
3121,"The Federalist article on controlled voluntary infection is reasonably argued . I do n't know if the author is right , but he makes an interesting case . Predictably , the only responses I 've seen so far are hysterical point - and - sputter condemnations , censorship & calls for the publication 's destruction . These tactics have been employed by Silicon Valley , ConInc & Cancel Culture Left against vaccine skeptics for several years . I reported on this a year ago this month : http :// michellemalkin . com / 2019 / 03 / 06 / vaccine - skeptics - under - siege / ",CRITICAL,long,low,CONSPIRACY
1813,"“ A public official acting in contravention of their position of authority resulting in harm , injury , financial loss or damage to a third party , knowingly and willingly act in a manner with a realisation their actions are likely to cause harm , injury or loss . ” THE ACTION BY THE GOVERNING BODY IS LEGAL AND WITHIN THE LAW , BUT IT IS ILLEGAL IF IT IS PERFORMED IN SUCH A WAY AS TO CAUSE HARM OR LOSS OR INJURY TO ANOTHER . We are in a situation right now where multiple organisations and individuals in government , the civil service and many public institutions are committing these crimes by continuing to administer and allowing the administering of these vaccines with the express knowledge they are causing significant harm , injury and death . “ I ’m only doing my job . ” “ I ’m only following orders . ” “ The government says its lawful so it continues ” “ They are safe and effective ’ ” These retorts are no longer acceptable and as such , having knowledge of harm and injury and continuing to administer the vaccines renders almost every single person involved complicit and guilty of these serious crimes . I have previously spoken to Dr Malhotra about making a criminal complaint to the Police . I have also made my views very clear regarding all police forces , they must set up major incident rooms , fully staffed with the right blend of professionals to obtain complaint statements from the many thousands of victims injured , or those who have suffered the loss of a loved one as a result of these experimental so called vaccines . What is even more alarming is the vaccines were never tested for preventing transmission , confirmed in a recent hearing by the head of Pfizer in the European Parliament . Taking the vaccine to protect Grandma and others is now proven to be the lie of the millennia and this is by their own admission . The MHRA have a lot to answer for as do Sage and Messrs Whitty , Vallance , Van Tam , Johnson , Zahawi and Hancock . There is evidence of direct communication via email exchange that some of the above knew about the dangers of the vaccines as far back as June 2021 but ignored the credible warnings . We are at a stage right now , today , where we have a duty to stop this harm and death and bring an end to this disgusting agenda that is NOT to protect Grandma or the NHS but something much more sinister . As members of Parliament , an eminent doctor , an expert from within the vaccine industry and a retired Police Constable we swore an oath to protect the public and to do no harm . There also needs to be more Ministers prepared to step forward and voice their concerns and join us en masse and take this directly to the police . There are many doctors and nurses who are ready to speak out , world renowned experts who are silenced by social media and news agencies , professors , virologists , immunologists , funeral directors , Dr Mike Yeadon himself a former VP at Pfizer for seventeen years who I know has already addressed his concerns in writing to Parliament back in 2020 , Dr Robert Malone inventor of the MRNA technology all standing up and shouting from the roof tops to stop this . The MHRA , IOPC , HMIC , UKHSA , NICE , Police Federation of England and Wales , Metropolitan Police Federation , Sadiq Khan ’s office , association of police and crime commissioners , Baroness Hallett chair of the independent public inquiry committee into COVID , lead barrister Hugo Keith and senior police across the U.K. have all been made aware by me and the replies from them all is .... “ If you are reporting crimes contact the police . ” We go to the police and they say . “ It ’s lawful , you need to speak to your MP . ” We can not continue going around in circles , as MP ’s you need to come together as a collective and with all of the aforementioned experts make criminal complaints to the police and they have to act . The police say they want MP ’s to come forward , well this is your chance . There are no more excuses and time is of the essence . ",CONSPIRACY,long,neutral,CRITICAL
843,"Absolutely everything , from breathing too much , to sleeping , to making your own bed are now causing sudden heart attacks . Everything except for the "" vaccine "" @ sarah25 ",CRITICAL,short,low,CONSPIRACY
455,"Covid is critical because this is what convinces people to accept , to legitimise total biometric surveillance Stand strong and stand together . Many are losing their jobs and ability to feed their families . My body - My choice . We just want to let you know that , many are called , few are choosen . We the medical practitioners are living by our code of conduct , which is to protect lives , and that ’s what we are doing no matter the cost . We are all in this together and we stand with the world to end the intake of the Vaccine and save the future of our children , the leaders of tomorrow . Hello hello already available ! All orders are ready and some are already delivered   We 're waiting for the orders of the day . Keep them coming   No to mandatory vaccines ! Directly Message the telegram ID @ opatters Or @ whitewanda for immediate response . Thanks for trusting our services . We do appreciate ",CRITICAL,long,low,CONSPIRACY
599,Climate change alarmists now say they ’re AGAINST greening planet Earth because plants cause pollen allergies https :// www . naturalnews . com / 2022 - 03 - 17 - climate - alarmists - now - against - greening - earth . html ,CRITICAL,average,low,CONSPIRACY
2332,NYC wants you to get vaccinated for “ Monkeypox ” as cases rise … Monkeypox is NOT easily spread or transmitted . [ They ] are playing on the fact the sheep will be ignorant to this despite its a Google search away … Death by ignorance . ,CONSPIRACY,average,neutral,CRITICAL
516,""" BREAKING : Pfizer Exploring "" "" Mutating "" "" COVID - 19 Virus For New Vaccines "" "" Do n't tell anyone this ... There is a risk ... have to be very controlled to make sure this virus you mutate does n't create something ... the way that the virus started in Wuhan , to be honest . "" "" # DirectedEvolution CLICK HERE TO TWEET # DirectedEvolution NOW : https :// ctt . ec / d3Lc2 "" ",CRITICAL,average,high,CONSPIRACY
1802,Fox News & Newsmax Took Biden Money To Push Deadly COVID Vaccines To Its Viewers LIVE NOW : https :// battleplan . news / channel / the - alex - jones - show   Read More : https :// www . infowars . com / posts / fox - news - newsmax - took - biden - money - to - push - deadly - covid - vaccines - to - its - viewers /   Subscribe For Breaking Alerts ! Text : ' NEWS ' To : ( 833 ) 637 - 17 ,CONSPIRACY,average,high,CRITICAL
