,precision,recall,f1-score,support,pipeline,classifier,vectorizer,preprocess_function
CONSPIRACY,0.7822878228782287,0.7681159420289855,0.7751371115173674,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_advanced
CRITICAL,0.8790170132325141,0.8874045801526718,0.8831908831908832,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_advanced
accuracy,0.84625,0.84625,0.84625,0.84625,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_advanced
macro avg,0.8306524180553714,0.8277602610908286,0.8291639973541254,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_advanced
weighted avg,0.8456454425602857,0.84625,0.8459123319635202,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_advanced
CONSPIRACY,0.7468354430379747,0.855072463768116,0.7972972972972973,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_advanced
CRITICAL,0.9173553719008265,0.8473282442748091,0.8809523809523809,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_advanced
accuracy,0.85,0.85,0.85,0.85,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_advanced
macro avg,0.8320954074694006,0.8512003540214625,0.8391248391248392,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_advanced
weighted avg,0.8585259964431426,0.85,0.8520913770913771,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_advanced
CONSPIRACY,0.8732394366197183,0.6739130434782609,0.7607361963190185,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_advanced
CRITICAL,0.8466780238500852,0.9484732824427481,0.8946894689468947,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_advanced
accuracy,0.85375,0.85375,0.85375,0.85375,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_advanced
macro avg,0.8599587302349017,0.8111931629605045,0.8277128326329566,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_advanced
weighted avg,0.8558417112556086,0.85375,0.8484755898902773,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_advanced
CONSPIRACY,0.84,0.6847826086956522,0.7544910179640718,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_advanced
CRITICAL,0.8486956521739131,0.9312977099236641,0.8880800727934486,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_advanced
accuracy,0.84625,0.84625,0.84625,0.84625,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_advanced
macro avg,0.8443478260869566,0.8080401593096582,0.8212855453787602,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_advanced
weighted avg,0.845695652173913,0.84625,0.8419918488773136,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_advanced
CONSPIRACY,0.761744966442953,0.822463768115942,0.7909407665505227,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_basic
CRITICAL,0.9023904382470119,0.8645038167938931,0.8830409356725146,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_basic
accuracy,0.85,0.85,0.85,0.85,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_basic
macro avg,0.8320677023449825,0.8434837924549176,0.8369908511115187,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_basic
weighted avg,0.8538677504746116,0.85,0.8512663773254274,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,CountVectorizer,preprocess_basic
CONSPIRACY,0.6896551724137931,0.8695652173913043,0.7692307692307693,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_basic
CRITICAL,0.9203539823008849,0.7938931297709924,0.8524590163934426,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_basic
accuracy,0.82,0.82,0.82,0.82,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_basic
macro avg,0.8050045773573391,0.8317291735811483,0.8108448928121059,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_basic
weighted avg,0.8407628928898383,0.82,0.8237452711223203,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MultinomialNB no Lemmatization nor stem",MultinomialNB,TfidfVectorizer,preprocess_basic
CONSPIRACY,0.8693693693693694,0.6992753623188406,0.7751004016064257,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_basic
CRITICAL,0.856401384083045,0.9446564885496184,0.8983666061705989,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_basic
accuracy,0.86,0.86,0.86,0.86,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_basic
macro avg,0.8628853767262072,0.8219659254342295,0.8367335038885123,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_basic
weighted avg,0.8608753390068269,0.86,0.8558397655959591,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,CountVectorizer,preprocess_basic
CONSPIRACY,0.8628318584070797,0.7065217391304348,0.7768924302788844,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_basic
CRITICAL,0.8588850174216028,0.9408396946564885,0.8979963570127505,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_basic
accuracy,0.86,0.86,0.86,0.86,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_basic
macro avg,0.8608584379143412,0.8236807168934617,0.8374443936458175,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_basic
weighted avg,0.8602466775615923,0.86,0.8562155022895667,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization nor stem",MLPClassifier,TfidfVectorizer,preprocess_basic
